name,hair,hair_detailed,comments
hu2D6140,blonde,light brown and grey,"born very blond and my hair color darkened over the years to a light brown.  At age 73 it I beginning to grey, but most of my hair is still the natural color.  My father did not go grey until late 70s"
hu4BF398,blonde,blonde,Age is turning hair white.  Body hair is still blond.
hu2C1D94,red,"Reddish brown on head, bright red in beard","Head hair and beard hair are different colors -- brown with a reddish tint on head, but bright red beard. My dad's hair was similarly disparate until he went grey."
hu60180F,blonde,silver gray,I was a light blond and then turned to an ash blond
huDBF9DD,red,"Brown, graying on sides","I was born with red hair that went blonde until (maybe) second grade, and then eventually turned brown somehow."
hu034DB1,blonde,fine,
hu0E64A1,blonde,Dirty blonde,
hu627574,blonde,it is gray brown now,"I was a blond as a child, my hair turned light brown around 12 and had some red/gold in it, then in my 20's turned a bit darker.  I started getting some gray hair around 26 and I am almost all gray at 55."
hu7123C1,blonde,"""Dishwater"" blonde, then brown, then gray.","As a child ""dishwater"" blonde from 1 to 20 yo , and gradually darkening to brown as an adult from age 21 to 50 yo; and with aging from 51 to 69 yo increasing gray (initially in beard and then scalp)."
huC14AE1,blonde,"Dark blonde, nearing light brown in color.","When younger, my hair was considerably lighter--almost a towhead, particularly in the summer.  As I aged, my hair darkened considerably and does not bleach in the light like it used to.  "
huF83462,blonde,gray,grayish blonde
huC5733C,blonde,,"Bright blonde when young, became dirty blonde, now almost white. "
hu04F220,red,,Used to be red
huDBD591,blonde,brown,Born fully blonde
hu3CAB43,blonde,blonde,
hu5E55F5,blonde,brown with some gray,I was born with very blond hair (a towhead) and as I grew older my color changed gradually.
hu26B551,red,Light brown mixed with gray.,My hair was strawberry blonde until age four. Then became light brown with a reddish undertone.
hu5CD2C6,blonde,light brown/grey,"childhood blonde;  later light brown; now brown, part grey"
huE9B698,blonde,,
hu602487,blonde,"White in front, grey mixed with light brown behind.","As a baby and toddler I had very light blond hair -- it looks white in photos. 
It darkened to dark blond by my 20's, with lighter blond in the front (naturally). 

It stayed that way until it began to go grey, then the rest darkened to brown and grey. "
hu43860C,blonde,,born platinum blond.  Then reddish light brown.  Then mix of brown-grey-white.
hu4BE6F2,blonde,,"Born blond, turned light brown as I got older, then darker brown in adulthood. At 44, slightly greyed."
huB1488D,blonde,reddish brown but now graying,I was born with blonde hair. It took on both a darker and more reddish hue at about age 13-14. My hair began turning gray at age 23. 
huED0F40,blonde,"Brown w/ smattering of mostly-white, some gray, at temples","Dirty-blonde hair color in early childhood that darkened to a light brown, gradually, between ages 9-12. Alopecia on males from mother's side of family, w/ maternal uncle having receding hairline at 28. Father's side has thick, coarse-haired males. My hair receded somewhat in late 30s, but not tracking to balding"
hu49F623,red,,I had rust reddish hair as a kid before it turned deep dark black hair. at least that is what i was told.  
huCBDC6D,blonde,Blonde,
huD649F1,red,Medium blond with red highlights. As a child 'strawberry blond.',"I was a 'towhead' blonde - nearly white blond as a young child. Then settled to strawberry blond. That's continued, now mixed with gray. 

My hair is naturally straight. "
hu79F922,blonde,"""Blond""","Towhead at age 2 to age 12. Now mousy, formerly blond, light brown. Gray around edges."
hu52B7E5,red,auburn,"My hair was much more red when I was younger, with more orange tones. It darkened during my twenties to a brownish red."
huFE71F3,red,bright red,
hu7A2F1D,blonde,blond/gray/white,I was born with blond hair that turned to brown and started turning gray in my 50s and white in my 60s. My eyebrows are still brown but turning gray.
hu868880,red,Reddish Brown,"photos from my childhood show my hair was very blond and it was often described to me as 'strawberry blonde'... as i've gotten older it has gotten darker. my eyebrows are very blonde, my arm hair is very blonde, but the hair on the rest of my body is darker. and the hair on my head is fairly tinged with grey."
hu448C4B,blonde,"""arctic blonde""","Born bald. Not balding now, at age 65. Was dark blonde."
huF5E0B6,blonde,dark blonde,
hu2DBF2D,red,somewhere between light brown and blonde,"When I was a baby my hair was reddish blonde, then as a child it was very light blonde, now (30's) my hair is approaching light brown. "
hu2FEC01,red,Dark brown to almost black,Was born a strawberry blonde
